ChEMBLTargetID	UniProtAccession
CHEMBL3012 Q13946
CHEMBL3018 Q9Y5Y6
CHEMBL302 P30543
CHEMBL3024 P53350
CHEMBL3025 P23280
CHEMBL3037 P47746
CHEMBL304 Q9WTR4
CHEMBL3045 P05771
CHEMBL3048 P29476
CHEMBL3055 P50613
CHEMBL3060 Q9Y345
CHEMBL3066 P30969
CHEMBL3067 P31422
CHEMBL307 P09483
CHEMBL3070 P05362
CHEMBL3072 P15207
CHEMBL308 P06493
CHEMBL3081 P16116
CHEMBL309 P10980
CHEMBL311 Q00960
CHEMBL3114 P23739
CHEMBL3116 P50750
CHEMBL312 P12527
CHEMBL3122 P18841
CHEMBL313 P31652
CHEMBL3130 O00329
CHEMBL3138 P19020
CHEMBL3142 P78527
CHEMBL3145 P42338
CHEMBL315 P15823
CHEMBL3155 P34969
CHEMBL3157 P30411
CHEMBL3160 P07607
CHEMBL318 P25099
CHEMBL3180 O00748
CHEMBL3181 P14061
CHEMBL319 P43140
CHEMBL3192 Q9BY41
CHEMBL3198 P21836
CHEMBL3199 P37136
CHEMBL320 P08483
CHEMBL3202 P48147
CHEMBL321 P14780
CHEMBL322 P14842
CHEMBL3222 P32300
CHEMBL3223 P32305
CHEMBL3227 P41594
CHEMBL3229 P97612
CHEMBL3230 O95977
CHEMBL3231 Q13464
CHEMBL3234 P08631
CHEMBL3238 P23786
CHEMBL324 P08909
CHEMBL3242 O43570
CHEMBL3243 P08575
CHEMBL325 Q13547
CHEMBL3254 P21398
CHEMBL326 P23944
CHEMBL3267 P48736
CHEMBL3268 Q9UBF8
CHEMBL3272 O60911
CHEMBL3286 P00749
CHEMBL330 P35439
CHEMBL3308 P55212
CHEMBL331 P11802
CHEMBL3310 Q96DB2
CHEMBL3314 P00766
CHEMBL332 P03956
CHEMBL333 P08253
CHEMBL3332 O77636
CHEMBL335 P18031
CHEMBL3358 P21396
CHEMBL3360 P28647
CHEMBL3361 P30729
CHEMBL3369 P07861
CHEMBL3371 P50406
CHEMBL3374 P25104
CHEMBL338 P23977
CHEMBL3385 P27361
CHEMBL339 P61169
CHEMBL3399910 Q9GZN0
CHEMBL340 P08684
CHEMBL3401 O75469
CHEMBL3403 Q9JKC1
CHEMBL3411 Q9Y256
CHEMBL3426 P47898
CHEMBL3427 P61168
CHEMBL344 Q99705
CHEMBL3455 O08914
CHEMBL3459 P28564
CHEMBL3464 P29477
CHEMBL3465 O55242
CHEMBL3468 P55210
CHEMBL3473 P51677
CHEMBL3474 P14555
CHEMBL3476 O15111
CHEMBL3478 Q28156
CHEMBL3501 Q63931
CHEMBL3508 P30553
CHEMBL3510 Q9ULX7
CHEMBL3514 Q13093
CHEMBL3522 P05093
CHEMBL3524 P56524
CHEMBL3529 Q14164
CHEMBL3535 O76083
CHEMBL3553 P29597
CHEMBL3559 P08842
CHEMBL3568 P29475
CHEMBL3571 P20272
CHEMBL3572 P11597
CHEMBL3582 Q02156
CHEMBL3587 Q02750
CHEMBL3590 Q05469
CHEMBL3594 Q16790
CHEMBL3614 P34975
CHEMBL3616 P24723
CHEMBL3629 P68400
CHEMBL3636 P28336
CHEMBL3638342 G3H407
CHEMBL3638364 A0A059UE90
CHEMBL3649 P80457
CHEMBL3650 P11362
CHEMBL3663 P62993
CHEMBL3687 P18054
CHEMBL3706 P78536
CHEMBL3710 P43115
CHEMBL3717 P08581
CHEMBL3719 P56450
CHEMBL3729 P22748
CHEMBL3746 P80365
CHEMBL3759 Q9H3N8
CHEMBL3764 Q9UKP6
CHEMBL3766 Q00788
CHEMBL3768 P08049
CHEMBL3769 P00760
CHEMBL3772 Q13255
CHEMBL3775 P30304
CHEMBL3776 Q14790
CHEMBL3778 Q9NWZ3
CHEMBL3785 Q8TDS4
CHEMBL3788 O00444
CHEMBL3795 Q01726
CHEMBL3802 O70342
CHEMBL3807 P17706
CHEMBL3815 Q02769
CHEMBL3816 P47712
CHEMBL3833 Q923Y9
CHEMBL3836 P53667
CHEMBL3837 P07711
CHEMBL3858 P32198
CHEMBL3863 Q15139
CHEMBL3864 Q06124
CHEMBL3869 P50281
CHEMBL3880 P07900
CHEMBL3884 P31639
CHEMBL3890 P16581
CHEMBL3892 Q99500
CHEMBL3898 P13497
CHEMBL3905 P07948
CHEMBL3911 Q15722
CHEMBL3912 Q8N1Q1
CHEMBL3920 Q04759
CHEMBL3921 Q9Y251
CHEMBL3923 Q9Y2I1
CHEMBL3942 P30547
CHEMBL3943 P31389
CHEMBL3948 P34976
CHEMBL3949 P35463
CHEMBL3952 P41144
CHEMBL3959 P16083
CHEMBL3961 Q15759
CHEMBL3969 Q9Y2D0
CHEMBL3974 P25116
CHEMBL3976 Q9UHL4
CHEMBL3979 Q03181
CHEMBL3983 P33981
CHEMBL3991 P08709
CHEMBL3996 P70536
CHEMBL3998 P20288
CHEMBL4005 P42336
CHEMBL4015 P41597
CHEMBL4016 P42262
CHEMBL4017 Q62968
CHEMBL4018 P49146
CHEMBL4026 P40763
CHEMBL4027 P14600
CHEMBL4028 P49430
CHEMBL4029 P25024
CHEMBL4033 Q8SPQ9
CHEMBL4036 Q00535
CHEMBL4040 P28482
CHEMBL4051 P13569
CHEMBL4054 P23978
CHEMBL4068 P23946
CHEMBL4070 P19784
CHEMBL4071 P08311
CHEMBL4072 P07858
CHEMBL4073 P09237
CHEMBL4077 Q01727
CHEMBL4079 P25098
CHEMBL4080 P32247
CHEMBL4093 P55055
CHEMBL4101 P17612
CHEMBL4102 P79208
CHEMBL4106 P80209
CHEMBL4111 O70526
CHEMBL4123 P30989
CHEMBL4124 Q9QYN8
CHEMBL4128 Q02763
CHEMBL4130 Q29010
CHEMBL4132 P27732
CHEMBL4140 P34914
CHEMBL4142 P21802
CHEMBL4145 Q9UKV0
CHEMBL4158 P49327
CHEMBL4179 P45984
CHEMBL4198 P98170
CHEMBL4203 Q9HAZ1
CHEMBL4204 Q9HBH9
CHEMBL4224 P49759
CHEMBL4234 P37058
CHEMBL4235 P28845
CHEMBL4247 Q9UM73
CHEMBL4261 Q16665
CHEMBL4282 P31749
CHEMBL4296 Q15858
CHEMBL4302 P08183
CHEMBL4303 P08238
CHEMBL4306 P22460
CHEMBL4308 P46663
CHEMBL4315 P47900
CHEMBL4317 Q62758
CHEMBL4321 Q05769
CHEMBL4329 P33534
CHEMBL4333 P21453
CHEMBL4336 P30557
CHEMBL4354 P97266
CHEMBL4358 P12530
CHEMBL4361 Q07820
CHEMBL4376 Q92630
CHEMBL4393 P39900
CHEMBL4408 O95263
CHEMBL4409 Q9Y233
CHEMBL4422 O14842
CHEMBL4427 Q13258
CHEMBL4429 P29371
CHEMBL4430 P11715
CHEMBL4439 P36897
CHEMBL4441 P49682
CHEMBL4461 Q9NTG7
CHEMBL4462 Q8IXJ6
CHEMBL4465 O75908
CHEMBL4471 P00735
CHEMBL4472 Q29463
CHEMBL4477 P23385
CHEMBL4478 Q00975
CHEMBL4481 P35228
CHEMBL4482 O96013
CHEMBL4489 P41149
CHEMBL4501 P23443
CHEMBL4506 Q96EB6
CHEMBL4523 Q9P1W9
CHEMBL4527 Q9UKE5
CHEMBL4552 P16257
CHEMBL4561 Q15761
CHEMBL4564 P00375
CHEMBL4566 P26684
CHEMBL4578 Q14680
CHEMBL4588 P22894
CHEMBL4599 Q07912
CHEMBL4600 Q13153
CHEMBL4601 Q13882
CHEMBL4607 P50052
CHEMBL4608 P33032
CHEMBL4616 Q92847
CHEMBL4617 P11086
CHEMBL4618 P09960
CHEMBL4625 Q07817
CHEMBL4630 O14757
CHEMBL4631 P21451
CHEMBL4633 P22001
CHEMBL4641 O43497
CHEMBL4644 P41968
CHEMBL4652 P28646
CHEMBL4653 P14740
CHEMBL4657 Q6V1X1
CHEMBL4681 P42330
CHEMBL4683 Q12884
CHEMBL4685 P14902
CHEMBL4696 P00489
CHEMBL4701 P31390
CHEMBL4718 Q9BUB5
CHEMBL4722 O14965
CHEMBL4744 Q28838
CHEMBL4761 Q16581
CHEMBL4768 P23795
CHEMBL4777 P25929
CHEMBL4781 P06199
CHEMBL4789 P35218
CHEMBL4792 O43614
CHEMBL4793 Q86TI2
CHEMBL4794 Q8NER1
CHEMBL4801 P29466
CHEMBL4803 P29474
CHEMBL4804 P30305
CHEMBL4816 Q9Y243
CHEMBL4822 P56817
CHEMBL4828 Q01827
CHEMBL4829 O00763
CHEMBL4835 P00338
CHEMBL4860 P10415
CHEMBL4892 P18130
CHEMBL4895 P30530
CHEMBL4896 Q96KB5
CHEMBL4897 Q9H4B4
CHEMBL4898 Q16620
CHEMBL4899 P41279
CHEMBL4908 Q923Y8
CHEMBL4956 P47869
CHEMBL4975 P28190
CHEMBL4979 P13866
CHEMBL4980 Q05941
CHEMBL5011 Q8R455
CHEMBL5017 O70528
CHEMBL5023 Q00987
CHEMBL5024 Q13535
CHEMBL5028 O14672
CHEMBL5067 P50130
CHEMBL5071 Q9Y5Y4
CHEMBL5076 Q9JI35
CHEMBL5077 Q9N1N9
CHEMBL5080 Q9Y5X9
CHEMBL5102 O35433
CHEMBL5103 Q969S8
CHEMBL5112 P31644
CHEMBL5113 O43613
CHEMBL5136 P21556
CHEMBL5137 Q14416
CHEMBL5141 O43174
CHEMBL5145 P15056
CHEMBL5147 P54760
CHEMBL5160 Q6RI86
CHEMBL5221 Q4G017
CHEMBL5247 Q13418
CHEMBL5251 Q06187
CHEMBL5285 Q99683
CHEMBL5299 Q865E1
CHEMBL5314 Q06418
CHEMBL5331 Q12866
CHEMBL5373 P47936
CHEMBL5393 Q9UNQ0
CHEMBL5401 P42226
CHEMBL5407 Q86V86
CHEMBL5408 Q9UHD2
CHEMBL5409 Q8TDU6
CHEMBL5413 Q969F8
CHEMBL5414 Q8K4Z4
CHEMBL5443 O00311
CHEMBL5462 Q13490
CHEMBL5469 Q14289
CHEMBL5471 B0FL73
CHEMBL5491 P30291
CHEMBL5508 Q63470
CHEMBL5522 Q8NET8
CHEMBL5543 Q9Y463
CHEMBL5570 P09581
CHEMBL5582 P15304
CHEMBL5645 Q2NNR5
CHEMBL5652 Q8TDV5
CHEMBL5669 P80299
CHEMBL5697 Q9GZT9
CHEMBL5719 P49336
CHEMBL5747 Q92793
CHEMBL5763 P81908
CHEMBL5776 O43318
CHEMBL5804 Q9NR96
CHEMBL5815 P51686
CHEMBL5855 Q96PY6
CHEMBL5888 Q99558
CHEMBL5896 O75164
CHEMBL5932 P53671
CHEMBL5979 P05186
CHEMBL6007 O75762
CHEMBL6009 O75907
CHEMBL6115 P10619
CHEMBL6136 O60341
CHEMBL6140 Q9QYJ6
CHEMBL6141 Q95214
CHEMBL6154 Q9H2K2
CHEMBL6164 O95271
CHEMBL6166 O95819
CHEMBL6175 Q9H3R0
CHEMBL6184 Q63380
